series_id,year_month,value,year,period,period_name
CES0000000001,2023-12,157304.0,2023,M12,December
CES0000000001,2023-11,157014.0,2023,M11,November
CES0000000001,2023-10,156832.0,2023,M10,October
CES0000000001,2023-09,156667.0,2023,M09,September
CES0000000001,2023-08,156421.0,2023,M08,August
CES0000000001,2023-07,156211.0,2023,M07,July
CES0000000001,2023-06,156027.0,2023,M06,June
CES0000000001,2023-05,155787.0,2023,M05,May
CES0000000001,2023-04,155484.0,2023,M04,April
CES0000000001,2023-03,155206.0,2023,M03,March
CES0000000001,2023-02,155060.0,2023,M02,February
CES0000000001,2023-01,154773.0,2023,M01,January
CES0000000001,2022-12,154291.0,2022,M12,December
CES0000000001,2022-11,154155.0,2022,M11,November
CES0000000001,2022-10,153897.0,2022,M10,October
CES0000000001,2022-09,153536.0,2022,M09,September
CES0000000001,2022-08,153281.0,2022,M08,August
CES0000000001,2022-07,153038.0,2022,M07,July
CES0000000001,2022-06,152348.0,2022,M06,June
CES0000000001,2022-05,151928.0,2022,M05,May
CES0000000001,2022-04,151642.0,2022,M04,April
CES0000000001,2022-03,151370.0,2022,M03,March
CES0000000001,2022-02,150876.0,2022,M02,February
CES0000000001,2022-01,150014.0,2022,M01,January
LNS14000000,2023-12,3.7,2023,M12,December
LNS14000000,2023-11,3.7,2023,M11,November
LNS14000000,2023-10,3.8,2023,M10,October
LNS14000000,2023-09,3.8,2023,M09,September
LNS14000000,2023-08,3.8,2023,M08,August
LNS14000000,2023-07,3.5,2023,M07,July
LNS14000000,2023-06,3.6,2023,M06,June
LNS14000000,2023-05,3.7,2023,M05,May
LNS14000000,2023-04,3.4,2023,M04,April
LNS14000000,2023-03,3.5,2023,M03,March
LNS14000000,2023-02,3.6,2023,M02,February
LNS14000000,2023-01,3.4,2023,M01,January
LNS14000000,2022-12,3.5,2022,M12,December
LNS14000000,2022-11,3.6,2022,M11,November
LNS14000000,2022-10,3.6,2022,M10,October
LNS14000000,2022-09,3.5,2022,M09,September
LNS14000000,2022-08,3.6,2022,M08,August
LNS14000000,2022-07,3.5,2022,M07,July
LNS14000000,2022-06,3.6,2022,M06,June
LNS14000000,2022-05,3.6,2022,M05,May
LNS14000000,2022-04,3.7,2022,M04,April
LNS14000000,2022-03,3.6,2022,M03,March
LNS14000000,2022-02,3.8,2022,M02,February
LNS14000000,2022-01,4.0,2022,M01,January
